SourceIdentifier,SourceFileName,GLAccountCode,Division,SubDivision,ProfitCentre1,ProfitCentre2,PlantCode,ReturnPeriod,SupplierGSTIN,DocumentType,SupplyType,DocumentNumber,DocumentDate,OriginalDocumentNumber,OriginalDocumentDate,CRDRPreGST,LineNumber,CustomerGSTIN,UINorComposition,OriginalCustomerGSTIN,CustomerName,CustomerCode,BillToState,ShipToState,POS,PortCode,ShippingBillNumber,ShippingBillDate,FOB,ExportDuty,HSNorSAC,ProductCode,ProductDescription,CategoryOfProduct,UnitOfMeasurement,Quantity,TaxableValue,IntegratedTaxRate,IntegratedTaxAmount,CentralTaxRate,CentralTaxAmount,StateUTTaxRate,StateUTTaxAmount,CessRateAdvalorem,CessAmountAdvalorem,CessRateSpecific,CessAmountSpecific,InvoiceValue,ReverseChargeFlag,TCSFlag,eComGSTIN,ITCFlag,ReasonForCreditDebitNote,AccountingVoucherNumber,AccountingVoucherDate,Userdefinedfield1,Userdefinedfield2,Userdefinedfield3
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","EXT","T11CLOUDNIC15","'2023-10-04","ERP-SCN1","2023-06-26","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIESA","ER-6767","33","08","33","INBLR4","4564566","'2022-01-18","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","0.000","0.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","151999.00","N","N","","T3","","T11CLOUDNIC15","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","NON","T11CLOUDNIC20","'2023-10-04","4569881","2021-02-26","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIES","ER-6767","33","36","33","INBLR4","4564566","'2022-02-26","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","0.000","0.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","152000.00","N","N","","T3","","T11CLOUDNIC20","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","TAX","T11CLOUDNIC21","'2023-10-04","IRP-NIC3","2023-06-27","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIESA","ER-6767","33","33","33","INBLR4","4564566","'2022-01-18","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","12.000","18240.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","170239.00","N","N","","T3","","T11CLOUDNIC21","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","DXP","T11CLOUDNIC22","'2023-10-04","ERP-SCN1","2023-06-26","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIESA","ER-6767","33","08","33","INBLR4","4564566","'2022-01-18","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","12.000","18240.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","170239.00","N","N","","T3","","T11CLOUDNIC22","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","DTA","T11CLOUDNIC23","'2023-10-04","ERP-SCN1","2023-06-26","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIESA","ER-6767","33","08","33","INBLR4","4564566","'2022-01-18","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","12.000","18240.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","170239.00","N","N","","T3","","T11CLOUDNIC23","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","NIL","T11CLOUDNIC24","'2023-10-04","ERP-SCN1","2023-06-26","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIESA","ER-6767","33","08","33","INBLR4","4564566","'2022-01-18","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","0.000","0.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","151999.00","N","N","","T3","","T11CLOUDNIC24","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","EXT","T11CLOUDNIC25","'2023-10-04","ERP-SCN1","2023-06-26","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIESA","ER-6767","33","08","33","INBLR4","4564566","'2022-01-18","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","0.000","0.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","151999.00","N","N","","T3","","T11CLOUDNIC25","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"FILE","FGR-22","GLAV","G1","FGR-55","PC11","PC21","G001","'102023","29AAAPH9357H000","INV","NON","T11CLOUDNIC30","'2023-10-04","4569881","2021-02-26","N","1","33GSPTN0481G1ZA","","","ESTUATE SOFTWARE TECHNOLOGIES","ER-6767","33","","33","INBLR4","4564566","'2022-02-26","567.45","8888.00","25232910","SD678","Electronics","SOD345","NOS","1000.000","152000.00","0.000","0.00","0.000","0.00","0.000","0.00","0.000","0.00","0.00","0.00","152000.00","N","N","","T3","","T11CLOUDNIC30","2023-10-04","FGR UD1","FGR UD2","FGR UD3"
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","INV","DXP","XYZ-1","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","Y","27GSPMH0482G1C1","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","INV","SEZWP","XYZ-2","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","Y","27GSPMH0482G1C1","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","DR","DXP","XYZ-7","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","Y","27GSPMH0482G1C1","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","DR","SEZWP","XYZ-8","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","Y","27GSPMH0482G1C1","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","INV","DXP","TOTUAT-1","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","Y","27GSPMH0482G1C1","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","DR","DXP","TOTUAT-7","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","Y","27GSPMH0482G1C1","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","INV","DXP","TOTUAT-9","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","E","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","DR","DXP","TOTUAT-12","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","E","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","CR","DXP","TOTUAT-15","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","E","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","INV","TAX","TOTUAT-18","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","INV","TAX","TOTUAT-19","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","INV","TAX","TOTUAT-20","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","CR","TAX","TOTUAT-21","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","CR","TAX","TOTUAT-22","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","CR","TAX","TOTUAT-23","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","DR","TAX","TOTUAT-24","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","DR","TAX","TOTUAT-25","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","DR","TAX","TOTUAT-26","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","INV","DXP","TOTUAT-36","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","O","","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","CR","DXP","TOTUAT-39","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","O","","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","DR","DXP","TOTUAT-42","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","29","","29","","","","","","37071000","","wheat","","KGS","10.000","1000.00","","","9.000","90.00","9.000","90.00","9.000","90.00","9.00","90.00","1360.00","N","O","","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","INV","DXP","TOTAL-1","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","E","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","INV","SEZWP","TOTAL-2","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","E","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","DR","DXP","TOTAL-4","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","E","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","DR","SEZWP","TOTAL-5","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","E","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","CR","DXP","TOTAL-7","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","E","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","CR","SEZWP","TOTAL-8","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","E","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","INV","TAX","TOTAL-19","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","INV","TAX","TOTAL-20","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","INV","TAX","TOTAL-21","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","CR","TAX","TOTAL-22","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","CR","TAX","TOTAL-23","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","CR","TAX","TOTAL-24","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","DR","TAX","TOTAL-25","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","DR","TAX","TOTAL-26","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","DR","TAX","TOTAL-27","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","O","18GSPTN0482G2Z3","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","INV","DXP","TOTAL-37","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","O","","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","INV","SEZWP","TOTAL-38","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","O","","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","CR","DXP","TOTAL-40","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","O","","","","EYEV368470","2022-05-26","","",""
"","","","","","","","G001","'112023","29ABCDE1234P2Z1","CR","SEZWP","TOTAL-41","'2023-06-01","","","N","1","33GSPTN0482G1Z9","","","CLNAME","","33","","33","","","","","","37071000","","wheat","","KGS","10.000","1000.00","18.000","180.00","","","","","9.000","90.00","9.00","90.00","1360.00","N","O","","","","EYEV368470","2022-05-26","","",""
